#2016-04-08-11:37:03 it-2004; 1150725436 edges will be deleted from the dvc in bulks of 10000000. The time measured is the time to delete 10000000 edges.
#Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
340.0 4071661.0 1.7912642 85.355 1150725436 41291594
350.0 4793864.0 1.8658308 87.441 1150725436 41291594
360.0 4440497.0 1.5418254 89.693 1150725436 41291594
370.0 4194631.0 1.9488585 92.077 1150725436 41291594
380.0 3816794.0 1.681235 94.697 1150725436 41291594
390.0 8598452.0 1.3554121 95.86 1150725436 41291594
400.0 3617945.0 1.8672801 98.624 1150725436 41291594
410.0 3475842.8 1.662671 101.501 1150725436 41291594
420.0 4116920.8 1.9654164 103.93 1150725436 41291594
430.0 1.4326647E7 1.5593065 104.628 1150725436 41291594
440.0 5630630.5 1.6914138 106.404 1150725436 41291594
450.0 3081664.2 1.7705319 109.649 1150725436 41291594
460.0 3201024.2 1.6709946 112.773 1150725436 41291594
470.0 6765899.5 1.4173039 114.251 1150725436 41291594
480.0 3660322.0 1.683248 116.983 1150725436 41291594
490.0 3915427.0 1.9499797 119.537 1150725436 41291594
500.0 3827019.0 1.8417894 122.15 1150725436 41291594
510.0 4058441.5 1.975614 124.614 1150725436 41291594
520.0 4347826.0 1.7393879 126.914 1150725436 41291594
530.0 3897116.2 1.8325154 129.48 1150725436 41291594
540.0 4189359.0 1.9118192 131.867 1150725436 41291594
550.0 3915427.0 1.6784477 134.421 1150725436 41291594
560.0 4528985.5 1.8153721 136.629 1150725436 41291594
570.0 3591954.2 1.6741045 139.413 1150725436 41291594
580.0 4016064.2 1.8025151 141.903 1150725436 41291594
590.0 4496403.0 1.8600435 144.127 1150725436 41291594
600.0 4796163.0 1.5383258 146.212 1150725436 41291594
610.0 8620690.0 1.7369218 147.372 1150725436 41291594
620.0 8554320.0 1.9604872 148.541 1150725436 41291594
630.0 8467401.0 2.005824 149.722 1150725436 41291594
640.0 8431703.0 2.2179382 150.908 1150725436 41291594
650.0 8032128.5 1.7938335 152.153 1150725436 41291594
660.0 8568980.0 1.9353411 153.32 1150725436 41291594
670.0 8576329.0 1.9194303 154.486 1150725436 41291594
680.0 8196721.0 1.8426837 155.706 1150725436 41291594
690.0 8396306.0 1.6844922 156.897 1150725436 41291594
700.0 8237232.5 2.2475312 158.111 1150725436 41291594
710.0 8077544.0 2.0827477 159.349 1150725436 41291594
720.0 8354218.5 1.8470296 160.546 1150725436 41291594
730.0 7727975.0 1.6617213 161.84 1150725436 41291594
740.0 7479431.5 1.5428882 163.177 1150725436 41291594
750.0 8006405.5 2.168288 164.426 1150725436 41291594
760.0 6775068.0 2.2200997 165.902 1150725436 41291594
770.0 6337136.0 2.2772436 167.48 1150725436 41291594
780.0 3846154.0 1.9550593 170.08 1150725436 41291594
790.0 4405286.5 2.0033984 172.35 1150725436 41291594
800.0 5205622.0 2.463845 174.271 1150725436 41291594
810.0 3639010.2 2.397781 177.019 1150725436 41291594
820.0 5175983.5 2.2489424 178.951 1150725436 41291594
830.0 4389815.5 2.1147087 181.229 1150725436 41291594
840.0 4070004.0 2.0649157 183.686 1150725436 41291594
850.0 4203447.0 2.0525572 186.065 1150725436 41291594
860.0 3802281.2 2.2998261 188.695 1150725436 41291594
870.0 3700962.5 2.1243887 191.397 1150725436 41291594
880.0 3696857.8 2.3481755 194.102 1150725436 41291594
890.0 4201680.5 2.1171043 196.482 1150725436 41291594
900.0 4171881.5 1.9593277 198.879 1150725436 41291594
910.0 4506534.5 1.8705295 201.098 1150725436 41291594
920.0 3459010.8 2.1675406 203.989 1150725436 41291594
930.0 4686035.5 2.133785 206.123 1150725436 41291594
940.0 4288164.5 2.1527393 208.455 1150725436 41291594
950.0 4743833.0 2.230802 210.563 1150725436 41291594
960.0 3933910.2 2.108298 213.105 1150725436 41291594
970.0 4526935.0 2.0291338 215.314 1150725436 41291594
980.0 3838771.5 2.4138649 217.919 1150725436 41291594
990.0 3982477.2 2.1764812 220.43 1150725436 41291594
1000.0 4672897.0 2.4523387 222.57 1150725436 41291594
1010.0 4171881.5 2.0942492 224.967 1150725436 41291594
1020.0 3910833.2 2.10838 227.524 1150725436 41291594
1030.0 4757374.0 2.2543108 229.626 1150725436 41291594
1040.0 4019292.8 2.048943 232.114 1150725436 41291594
1050.0 4743833.0 2.1590948 234.222 1150725436 41291594
1060.0 4145937.0 2.2795136 236.634 1150725436 41291594
1070.0 4393673.0 2.2737656 238.91 1150725436 41291594
1080.0 4295532.5 2.3736463 241.238 1150725436 41291594
1090.0 5399568.0 2.3397892 243.09 1150725436 41291594
1100.0 5128205.0 2.244062 245.04 1150725436 41291594
1110.0 8045052.0 2.1361697 246.283 1150725436 41291594
1120.0 5141388.0 1.9694371 248.228 1150725436 41291594
1130.0 3765060.5 1.3360194 250.884 1150725436 41291594
1140.0 4748338.0 1.4612565 252.99 1150725436 41291594
1150.0 4967710.0 1.3284831 255.003 1150725436 41291594
